,ticket_number,resolution,agentid,cpc,firstcontactresolution,fullresolutiontime,replytime,problem,ticketcreationdate,satisfaction,comment
1090,13010,,1390.0,2.0,0.0,10.0,180.0,Wrong password,2021-06-15,Offered,
1094,13982,,1548.0,3.0,0.0,11.0,317.0,Wrong password,2021-07-05,Offered,
1095,14536,,1585.0,1.0,1.0,6.0,170.0,Item do not show,2021-07-30,Offered,N / A
1096,14078,,1435.0,,0.0,9.0,170.0,Cheating,2021-06-03,Offered,N / A
1100,14505,,1996.0,1.0,1.0,3.0,159.0,Cheating,2021-06-23,Offered,
1101,14757,,1812.0,5.0,0.0,12.0,446.0,Item do not show,2021-05-16,Offered,N / A
1103,12673,,1336.0,3.0,0.0,17.0,501.0,Wrong password,2021-05-23,Offered,
1104,12640,,1949.0,6.0,0.0,2.0,43.0,Compromited account,2021-08-11,Offered,
1107,13140,,1985.0,3.0,0.0,,84.0,Item do not show,2021-08-10,Offered,N / A
1108,10843,,1400.0,,0.0,10.0,52.0,Compromited account,2021-08-02,Offered,
1111,14340,,1692.0,2.0,0.0,23.0,799.0,Wrong password,2021-08-07,Offered,
1117,10414,,1390.0,3.0,0.0,7.0,433.0,Payment processing,2021-07-18,Offered,N / A
1122,10808,,1480.0,3.0,0.0,2.0,143.0,Wrong password,2021-08-02,Offered,
1126,14543,,1812.0,1.0,1.0,5.0,242.0,Item do not show,2021-08-04,Offered,N / A
1131,15321,,1585.0,6.0,0.0,8.0,,Compromited account,2021-08-19,Offered,N / A
1132,15039,,1759.0,2.0,0.0,26.0,426.0,Payment processing,2021-06-15,Offered,N / A
1134,12995,,1585.0,3.0,0.0,25.0,674.0,Item do not show,2021-06-10,Offered,
1135,15036,,1770.0,1.0,1.0,25.0,868.0,Item do not show,2021-07-14,Offered,
1140,14479,,1473.0,2.0,0.0,5.0,289.0,Wrong password,2021-07-23,Offered,N / A
1143,12665,,1359.0,,0.0,18.0,386.0,Wrong password,2021-07-03,Offered,
1150,14579,,1777.0,2.0,0.0,9.0,757.0,Compromited account,2021-08-12,Offered,
1152,13663,,1929.0,1.0,1.0,2.0,193.0,Payment processing,2021-06-06,Offered,
1153,10197,,1812.0,2.0,0.0,37.0,549.0,,2021-06-19,Offered,
1157,15603,,1267.0,4.0,0.0,7.0,947.0,Payment processing,2021-06-08,Offered,N / A
1169,12327,,1813.0,,0.0,6.0,549.0,Wrong password,,Offered,N / A
1173,13875,,1892.0,2.0,0.0,8.0,223.0,Wrong password,2021-06-16,Offered,
1176,13732,,1759.0,5.0,0.0,2.0,511.0,Cheating,2021-06-11,Offered,
1183,15015,,1359.0,2.0,0.0,20.0,711.0,Wrong password,2021-08-14,Offered,
1184,14521,,1812.0,3.0,0.0,2.0,139.0,,2021-05-17,Offered,N / A
1187,10716,,1813.0,2.0,0.0,5.0,,Payment processing,2021-07-29,Offered,
1193,14359,,1438.0,4.0,0.0,3.0,264.0,,2021-07-06,Offered,
1196,11723,,1480.0,1.0,1.0,17.0,676.0,Cheating,2021-08-05,Offered,N / A
1198,14938,,1340.0,,0.0,16.0,,Payment processing,2021-05-20,Offered,
1200,10636,,1340.0,4.0,0.0,3.0,82.0,Wrong password,2021-05-22,Offered,
1201,11815,,1532.0,3.0,0.0,8.0,57.0,Item do not show,2021-05-11,Offered,N / A
1203,11845,,1426.0,3.0,0.0,7.0,160.0,Wrong password,2021-05-22,Offered,
1205,15068,,1837.0,,1.0,,148.0,,2021-06-25,Offered,N / A
1208,10598,,1663.0,3.0,0.0,,871.0,Cheating,2021-08-21,Offered,
1211,11029,,1857.0,,0.0,2.0,128.0,Payment processing,2021-05-19,Offered,N / A
1215,14381,,1412.0,2.0,0.0,10.0,182.0,Wrong password,2021-06-12,Offered,
1217,15223,,1585.0,2.0,0.0,9.0,365.0,Wrong password,2021-07-15,Offered,
1219,12782,,1967.0,5.0,0.0,25.0,629.0,Wrong password,2021-07-26,Offered,N / A
1223,10678,,1692.0,3.0,0.0,4.0,59.0,Cheating,2021-05-31,Offered,N / A
1224,11902,,1414.0,,0.0,2.0,61.0,Wrong password,2021-05-18,Offered,
1228,14057,,1710.0,7.0,,5.0,161.0,Item do not show,2021-08-23,Offered,N / A
1237,13377,,1656.0,4.0,0.0,11.0,624.0,Item do not show,2021-08-23,Offered,
1238,12726,,1531.0,5.0,0.0,5.0,530.0,Wrong password,2021-06-24,Offered,N / A
1244,15238,,1267.0,7.0,0.0,7.0,236.0,Wrong password,2021-08-02,Offered,
1249,10194,,1426.0,1.0,1.0,15.0,658.0,Payment processing,2021-06-29,Offered,
1255,15320,,1435.0,3.0,0.0,2.0,195.0,Wrong password,2021-06-30,Offered,N / A
1258,14438,,1947.0,,0.0,3.0,217.0,Payment processing,2021-08-17,Offered,
1264,11379,,1580.0,2.0,0.0,5.0,,,2021-08-10,Offered,N / A
1267,13048,,1671.0,3.0,0.0,32.0,508.0,Cheating,2021-07-21,Offered,
1269,11812,,1781.0,,0.0,6.0,257.0,Compromited account,2021-06-13,Offered,N / A
1271,11442,,1936.0,2.0,0.0,11.0,510.0,Cheating,2021-07-03,Offered,
1274,10611,,1438.0,3.0,0.0,4.0,79.0,Payment processing,2021-05-24,Offered,
1276,10969,,1522.0,2.0,0.0,5.0,209.0,Item do not show,2021-06-26,Offered,N / A
1281,13009,,1583.0,3.0,0.0,3.0,115.0,Item do not show,2021-06-02,Offered,N / A
1283,10988,,1496.0,5.0,0.0,12.0,131.0,Payment processing,2021-06-09,Offered,N / A
1286,11018,,1358.0,3.0,0.0,5.0,272.0,Payment processing,2021-07-29,Offered,
1290,12776,,1942.0,3.0,0.0,7.0,191.0,Payment processing,2021-07-06,Offered,N / A
1293,13301,,1692.0,7.0,0.0,2.0,147.0,Item do not show,2021-07-15,Offered,
1296,11886,,1781.0,3.0,0.0,8.0,512.0,Wrong password,2021-08-03,Offered,
1297,14551,,1697.0,1.0,1.0,8.0,29.0,Wrong password,2021-05-14,Offered,N / A
1298,15226,,1438.0,2.0,0.0,7.0,226.0,Wrong password,2021-05-28,Offered,
1303,12646,,1455.0,2.0,0.0,7.0,73.0,,2021-05-30,Offered,
1304,12256,,1781.0,1.0,1.0,2.0,1042.0,Item do not show,,Offered,
1312,14923,,2003.0,4.0,0.0,9.0,803.0,Wrong password,2021-05-14,Offered,
1314,15323,,1287.0,1.0,1.0,33.0,455.0,,2021-07-12,Offered,
1316,12060,,1806.0,3.0,0.0,14.0,132.0,Payment processing,2021-07-28,Offered,
1320,13084,,1656.0,3.0,0.0,15.0,726.0,Compromited account,2021-06-16,Offered,
1322,12551,,1522.0,2.0,0.0,10.0,340.0,Wrong password,2021-07-27,Offered,
1324,13589,,1340.0,,0.0,4.0,149.0,Payment processing,2021-07-20,Offered,
1336,13958,,1473.0,4.0,0.0,2.0,624.0,Wrong password,2021-06-29,Offered,N / A
1337,12736,,1688.0,3.0,0.0,6.0,641.0,Cheating,2021-06-02,Offered,N / A
1338,10511,,1248.0,2.0,0.0,6.0,128.0,Payment processing,2021-07-31,Offered,N / A
1345,13491,,1996.0,,1.0,8.0,487.0,Payment processing,2021-06-02,Offered,N / A
1357,15028,,1411.0,2.0,0.0,3.0,164.0,Wrong password,2021-05-20,Offered,
1362,12348,,1435.0,6.0,0.0,4.0,125.0,Wrong password,2021-06-03,Offered,
1375,11619,,1571.0,2.0,0.0,8.0,163.0,Item do not show,2021-07-27,Offered,
1377,11565,,1535.0,,1.0,25.0,771.0,Payment processing,2021-08-07,Offered,
1382,10496,,1400.0,2.0,0.0,7.0,276.0,Wrong password,2021-08-09,Offered,N / A
1384,13030,,1480.0,5.0,0.0,4.0,728.0,Payment processing,2021-06-07,Offered,
1387,11553,,1427.0,1.0,1.0,3.0,353.0,Wrong password,2021-05-11,Offered,
1390,15285,,1390.0,,0.0,,784.0,Item do not show,2021-07-12,Offered,
1395,11383,,1319.0,4.0,0.0,3.0,342.0,Wrong password,2021-06-13,Offered,N / A
1405,15234,,1692.0,2.0,0.0,,13.0,Payment processing,2021-06-13,Offered,
1407,11971,,1341.0,1.0,1.0,11.0,638.0,Wrong password,2021-06-15,Offered,N / A
1409,11975,,1996.0,4.0,0.0,14.0,176.0,Cheating,,Offered,
1410,14016,,1384.0,3.0,0.0,14.0,232.0,Wrong password,2021-06-04,Offered,N / A
1411,10201,,1426.0,2.0,0.0,5.0,290.0,Wrong password,2021-08-23,Offered,
1415,13636,,1358.0,3.0,0.0,25.0,644.0,Payment processing,2021-05-26,Offered,
1418,13794,,1438.0,2.0,0.0,6.0,,Wrong password,2021-05-12,Offered,
1420,11818,,1571.0,1.0,1.0,11.0,807.0,Item do not show,2021-06-08,Offered,
1423,10774,,2003.0,2.0,0.0,9.0,138.0,Payment processing,2021-06-17,Offered,
1427,10740,,1663.0,,0.0,16.0,396.0,Wrong password,2021-08-04,Offered,
1428,11474,,1899.0,3.0,0.0,11.0,496.0,Wrong password,2021-07-14,Offered,N / A
1430,10559,,1759.0,2.0,0.0,10.0,133.0,Item do not show,2021-05-20,Offered,
1432,12828,,1477.0,2.0,0.0,11.0,425.0,Wrong password,2021-06-25,Offered,
1433,11893,,1585.0,2.0,0.0,15.0,876.0,Item do not show,2021-06-29,Offered,
1437,14865,,1921.0,2.0,0.0,4.0,283.0,Wrong password,2021-07-12,Offered,
1444,11566,,1336.0,1.0,1.0,14.0,928.0,Compromited account,2021-06-27,Offered,N / A
1445,12517,,1427.0,4.0,0.0,17.0,952.0,Item do not show,2021-08-22,Offered,
1451,12609,,2019.0,4.0,0.0,8.0,439.0,Payment processing,2021-08-02,Offered,N / A
1452,10946,,1455.0,3.0,0.0,2.0,584.0,Wrong password,2021-07-31,Offered,
1455,11163,,1719.0,5.0,0.0,7.0,355.0,Wrong password,2021-07-06,Offered,N / A
1457,15605,,1942.0,1.0,1.0,11.0,92.0,Payment processing,2021-05-14,Offered,N / A
1458,12922,,1921.0,5.0,,6.0,184.0,Item do not show,2021-05-20,Offered,N / A
1460,14301,,1435.0,,0.0,3.0,272.0,Cheating,2021-07-31,Offered,
1461,11908,,1340.0,2.0,0.0,14.0,237.0,Wrong password,2021-07-27,Offered,N / A
1462,14055,,1571.0,1.0,1.0,23.0,644.0,Item do not show,2021-05-25,Offered,N / A
1465,15671,,1967.0,3.0,0.0,2.0,560.0,Wrong password,2021-07-08,Offered,
1466,12352,,1921.0,3.0,0.0,16.0,,Payment processing,2021-08-18,Offered,
1470,10724,,1400.0,2.0,0.0,4.0,159.0,Item do not show,2021-08-13,Offered,
1472,11058,,1746.0,3.0,0.0,3.0,29.0,Payment processing,2021-08-11,Offered,
1475,13039,,1985.0,5.0,0.0,9.0,32.0,Compromited account,2021-05-17,Offered,
1477,12321,,1363.0,,0.0,11.0,200.0,Wrong password,2021-07-09,Offered,
1478,14202,,1414.0,3.0,0.0,11.0,636.0,Payment processing,2021-06-07,Offered,
1479,10541,,1522.0,3.0,0.0,12.0,245.0,Compromited account,2021-06-24,Offered,
1480,11205,,1688.0,2.0,0.0,9.0,223.0,Payment processing,2021-07-16,Offered,
1482,11485,,1996.0,1.0,1.0,28.0,708.0,Wrong password,2021-07-03,Offered,
1483,15411,,1571.0,3.0,0.0,3.0,1048.0,Item do not show,2021-08-17,Offered,
1484,15170,,1819.0,,0.0,8.0,190.0,Payment processing,2021-06-04,Offered,
1486,10766,,1985.0,3.0,0.0,39.0,579.0,Wrong password,2021-07-24,Offered,
1489,10994,,1777.0,1.0,1.0,17.0,,Compromited account,2021-06-09,Offered,
1492,14523,,1812.0,,1.0,5.0,291.0,Wrong password,2021-06-16,Offered,
1493,12952,,1319.0,3.0,0.0,6.0,204.0,Payment processing,2021-07-18,Offered,
1495,10287,,1921.0,2.0,0.0,,89.0,Item do not show,,Offered,N / A
1496,10943,,1455.0,,0.0,7.0,222.0,Payment processing,2021-07-24,Offered,N / A
1500,14206,,1359.0,2.0,0.0,7.0,109.0,Item do not show,2021-07-25,Offered,
1501,13300,,1341.0,,0.0,14.0,421.0,Wrong password,2021-08-15,Offered,
1511,14552,,1535.0,,,5.0,193.0,Payment processing,2021-07-29,Offered,N / A
1512,12789,,1426.0,1.0,1.0,4.0,208.0,Payment processing,2021-07-07,Offered,
1520,15041,,1400.0,3.0,0.0,9.0,884.0,Item do not show,2021-07-04,Offered,
1522,11915,,1336.0,2.0,0.0,5.0,78.0,Wrong password,2021-06-02,Offered,
1524,12962,,1949.0,6.0,0.0,4.0,139.0,Payment processing,2021-06-11,Offered,N / A
1530,14797,,2003.0,4.0,0.0,6.0,187.0,Wrong password,2021-05-26,Offered,
1532,14749,,1519.0,2.0,0.0,3.0,,Wrong password,2021-08-04,Offered,
1538,15029,,1857.0,4.0,0.0,12.0,469.0,Payment processing,2021-07-20,Offered,
1541,12041,,1710.0,4.0,0.0,6.0,146.0,Item do not show,2021-05-27,Offered,
1549,12844,,2028.0,,0.0,12.0,275.0,Compromited account,2021-06-04,Offered,N / A
1550,13541,,1363.0,,,4.0,53.0,,2021-08-22,Offered,N / A
1559,10240,,1692.0,,0.0,3.0,138.0,,2021-06-09,Offered,N / A
1560,11652,,1363.0,3.0,0.0,,183.0,Item do not show,2021-05-19,Offered,
1562,10603,,1477.0,2.0,0.0,8.0,270.0,Payment processing,2021-06-25,Offered,
1567,12315,,1548.0,3.0,0.0,8.0,765.0,Wrong password,2021-05-18,Offered,
1569,12708,,1337.0,2.0,0.0,21.0,466.0,Item do not show,2021-06-23,Offered,N / A
1572,11344,,1666.0,5.0,0.0,5.0,421.0,Payment processing,2021-05-15,Offered,N / A
1575,12623,,1531.0,5.0,0.0,6.0,226.0,Item do not show,2021-06-18,Offered,
1584,11569,,1656.0,1.0,1.0,6.0,130.0,Payment processing,2021-06-29,Offered,
1591,13847,,1473.0,5.0,0.0,10.0,962.0,Cheating,2021-08-06,Offered,
1598,14898,,1759.0,2.0,0.0,23.0,818.0,Wrong password,2021-05-23,Offered,N / A
1603,11479,,1697.0,1.0,1.0,6.0,85.0,Wrong password,2021-05-30,Offered,
1604,11738,,1384.0,2.0,0.0,6.0,321.0,Item do not show,2021-05-18,Offered,
1606,15438,,1813.0,2.0,0.0,4.0,102.0,Item do not show,2021-07-19,Offered,
1611,14388,,2028.0,1.0,1.0,3.0,168.0,Payment processing,,Offered,
1613,13766,,1522.0,,0.0,2.0,116.0,Wrong password,2021-06-06,Offered,N / A
1614,12449,,1857.0,,1.0,5.0,186.0,Item do not show,2021-05-28,Offered,N / A
1623,14009,,1646.0,3.0,0.0,5.0,445.0,Item do not show,2021-05-15,Offered,N / A
1625,10745,,1806.0,4.0,0.0,4.0,155.0,Wrong password,2021-05-14,Offered,
1629,11176,,1248.0,2.0,0.0,3.0,534.0,Item do not show,2021-07-04,Offered,
1630,15434,,1985.0,4.0,0.0,6.0,53.0,Wrong password,2021-08-14,Offered,
1634,10276,,1341.0,3.0,0.0,3.0,180.0,Item do not show,2021-07-27,Offered,
1635,10705,,1656.0,2.0,0.0,5.0,380.0,Item do not show,2021-06-25,Offered,N / A
1639,10621,,1899.0,2.0,0.0,6.0,67.0,,2021-06-01,Offered,N / A
1641,11683,,1813.0,2.0,0.0,15.0,756.0,Item do not show,2021-06-14,Offered,
1642,14960,,1571.0,5.0,0.0,11.0,115.0,Payment processing,2021-06-28,Offered,
1643,14940,,1967.0,4.0,0.0,3.0,139.0,Compromited account,2021-06-27,Offered,N / A
1645,12015,,1942.0,2.0,0.0,5.0,263.0,Item do not show,2021-06-26,Offered,
1646,15448,,1583.0,3.0,0.0,6.0,202.0,Payment processing,2021-06-05,Offered,N / A
1647,11576,,1480.0,3.0,0.0,5.0,527.0,Wrong password,2021-06-05,Offered,N / A
1651,14501,,1985.0,4.0,0.0,11.0,,Wrong password,2021-08-09,Offered,
1657,10866,,1287.0,2.0,0.0,20.0,917.0,Wrong password,2021-05-15,Offered,
1659,13141,,1360.0,2.0,0.0,18.0,702.0,Cheating,2021-05-21,Offered,
1660,15101,,1455.0,2.0,0.0,4.0,190.0,Item do not show,2021-08-19,Offered,
1664,14191,,1770.0,1.0,1.0,4.0,70.0,Item do not show,2021-08-05,Offered,N / A
1666,13372,,1857.0,2.0,0.0,6.0,55.0,Wrong password,2021-05-13,Offered,
1673,14141,,1377.0,2.0,0.0,7.0,77.0,Cheating,2021-08-08,Offered,
1682,12170,,1480.0,,0.0,2.0,420.0,,2021-08-05,Offered,
1688,15335,,1414.0,2.0,0.0,4.0,516.0,Item do not show,2021-06-13,Offered,
1689,15316,,1947.0,,0.0,8.0,36.0,Wrong password,,Offered,N / A
1693,12049,,1426.0,2.0,0.0,27.0,459.0,Wrong password,2021-08-19,Offered,
1694,12283,,1754.0,2.0,,28.0,567.0,Wrong password,2021-05-15,Offered,N / A
1695,10583,,1770.0,3.0,0.0,3.0,638.0,,2021-07-26,Offered,N / A
1696,12429,,1377.0,3.0,,7.0,256.0,Item do not show,,Offered,N / A
1700,14941,,1319.0,2.0,0.0,3.0,161.0,Cheating,,Offered,
1703,14460,,1571.0,3.0,0.0,,77.0,Payment processing,2021-08-09,Offered,
1704,12542,,1455.0,2.0,0.0,,275.0,Item do not show,2021-07-21,Offered,N / A
1705,10898,,1759.0,4.0,0.0,32.0,518.0,Cheating,2021-07-16,Offered,N / A
1708,11541,,1548.0,,0.0,10.0,112.0,Item do not show,2021-07-12,Offered,N / A
1713,11232,,1949.0,5.0,0.0,15.0,81.0,Payment processing,2021-08-10,Offered,
1715,15614,,1337.0,3.0,0.0,2.0,116.0,,2021-08-16,Offered,
1718,13097,,1806.0,2.0,0.0,10.0,640.0,Cheating,2021-06-26,Offered,
1720,11626,,1519.0,4.0,0.0,7.0,418.0,Item do not show,2021-05-11,Offered,N / A
1725,11847,,1317.0,2.0,0.0,5.0,280.0,Wrong password,2021-07-02,Offered,
1730,11850,,1384.0,,0.0,5.0,209.0,Cheating,2021-06-05,Offered,
1733,13439,,1438.0,3.0,0.0,3.0,665.0,Payment processing,2021-07-15,Offered,
1734,11747,,1519.0,3.0,0.0,8.0,,Payment processing,,Offered,N / A
1737,14739,,1695.0,3.0,0.0,4.0,123.0,Payment processing,2021-08-03,Offered,
1738,12579,,1336.0,,0.0,11.0,484.0,Payment processing,2021-05-28,Offered,
1739,15095,,1548.0,1.0,1.0,2.0,216.0,Item do not show,,Offered,
1741,12069,,1710.0,,0.0,17.0,249.0,Payment processing,2021-06-18,Offered,
1746,11088,,1571.0,3.0,0.0,5.0,458.0,Wrong password,2021-06-28,Offered,
1747,13355,,1317.0,5.0,0.0,9.0,77.0,Payment processing,2021-06-08,Offered,
1748,12615,,1770.0,1.0,1.0,,868.0,Item do not show,2021-07-14,Offered,N / A
1750,14768,,1726.0,,0.0,3.0,208.0,Payment processing,2021-06-19,Offered,N / A
1751,10733,,1726.0,4.0,,10.0,930.0,,2021-06-27,Offered,N / A
1752,11702,,1248.0,2.0,0.0,10.0,124.0,Wrong password,2021-05-24,Offered,
1754,10478,,1535.0,,0.0,12.0,233.0,Payment processing,2021-05-11,Offered,N / A
1756,11586,,1947.0,2.0,0.0,3.0,671.0,Cheating,2021-06-05,Offered,
1759,12710,,1697.0,2.0,0.0,4.0,75.0,Wrong password,2021-08-08,Offered,N / A
1765,15264,,1477.0,,0.0,8.0,70.0,Compromited account,2021-06-23,Offered,N / A
1766,12830,,1435.0,4.0,0.0,8.0,745.0,Payment processing,2021-06-25,Offered,
1768,13386,,1340.0,2.0,0.0,,489.0,Compromited account,2021-06-07,Offered,
1769,10504,,1363.0,3.0,0.0,4.0,90.0,Payment processing,2021-05-17,Offered,
1782,13505,,1390.0,2.0,0.0,6.0,492.0,Compromited account,2021-07-31,Offered,
1786,15348,,1781.0,,0.0,21.0,921.0,Item do not show,2021-08-04,Offered,N / A
1789,11973,,1435.0,2.0,0.0,7.0,414.0,Payment processing,2021-05-12,Offered,
1793,10846,,2003.0,1.0,1.0,4.0,550.0,Wrong password,2021-06-18,Offered,
1797,10816,,1477.0,,0.0,12.0,129.0,Payment processing,2021-05-30,Offered,N / A
1806,12961,,1358.0,3.0,0.0,5.0,65.0,Item do not show,2021-08-11,Offered,
1808,12697,,1248.0,3.0,0.0,7.0,196.0,Payment processing,2021-05-30,Offered,N / A
1812,14996,,1646.0,3.0,,16.0,586.0,Cheating,2021-08-20,Offered,N / A
1820,13590,,1566.0,,,5.0,52.0,Payment processing,2021-05-14,Offered,N / A
1823,15385,,1892.0,3.0,0.0,12.0,398.0,Item do not show,2021-05-13,Offered,
1825,14070,,1585.0,2.0,0.0,5.0,150.0,Wrong password,2021-07-02,Offered,
1827,13971,,1648.0,3.0,0.0,5.0,188.0,Compromited account,2021-07-28,Offered,
1828,14786,,1813.0,2.0,0.0,3.0,84.0,Item do not show,2021-05-30,Offered,N / A
1829,14624,,1837.0,3.0,0.0,2.0,115.0,Item do not show,2021-07-24,Offered,N / A
1830,12888,,2019.0,1.0,1.0,15.0,376.0,Item do not show,2021-05-16,Offered,
1832,13350,,1438.0,3.0,0.0,12.0,576.0,Wrong password,2021-08-16,Offered,N / A
1838,13566,,1438.0,1.0,1.0,12.0,115.0,,2021-08-17,Offered,N / A
1839,13914,,1817.0,3.0,0.0,9.0,187.0,Payment processing,2021-06-05,Offered,
1843,12411,,1359.0,5.0,0.0,7.0,312.0,Wrong password,2021-06-06,Offered,
1848,12173,,1719.0,1.0,,7.0,671.0,,2021-07-08,Offered,N / A
1850,10658,,1480.0,3.0,0.0,9.0,98.0,Item do not show,2021-07-13,Offered,
1851,10664,,1503.0,2.0,0.0,7.0,219.0,Payment processing,,Offered,
1856,11206,,1656.0,,0.0,9.0,171.0,Item do not show,2021-06-26,Offered,
1859,15128,,1812.0,4.0,0.0,6.0,267.0,Wrong password,2021-07-24,Offered,N / A
1863,12299,,1942.0,3.0,0.0,12.0,181.0,Wrong password,2021-05-11,Offered,N / A
1867,12220,,1806.0,1.0,1.0,6.0,42.0,Wrong password,2021-07-07,Offered,
1871,15004,,1688.0,6.0,0.0,5.0,78.0,Compromited account,2021-07-29,Offered,N / A
1875,11664,,1566.0,2.0,0.0,19.0,628.0,Payment processing,2021-06-05,Offered,
1878,14677,,1496.0,4.0,0.0,7.0,542.0,Payment processing,2021-06-01,Offered,N / A
1880,14819,,1496.0,3.0,0.0,18.0,775.0,Item do not show,2021-08-19,Offered,
1885,13825,,1929.0,4.0,0.0,17.0,687.0,Item do not show,2021-08-12,Offered,
1891,11939,,1697.0,,0.0,4.0,222.0,,2021-05-26,Offered,
1893,12306,,1503.0,3.0,0.0,3.0,263.0,Payment processing,2021-08-17,Offered,
1894,14950,,1568.0,,1.0,20.0,344.0,Wrong password,2021-06-18,Offered,N / A
1897,11594,,1317.0,2.0,0.0,,110.0,Payment processing,2021-06-08,Offered,N / A
1918,10322,,1585.0,1.0,1.0,9.0,235.0,Item do not show,2021-06-17,Offered,N / A
1920,14995,,1695.0,4.0,0.0,,143.0,Item do not show,2021-07-28,Offered,
1922,11736,,1359.0,,0.0,6.0,774.0,Payment processing,2021-06-04,Offered,
1929,14935,,1363.0,,0.0,5.0,740.0,Compromited account,2021-07-08,Offered,
1937,10420,,1817.0,2.0,0.0,7.0,29.0,Payment processing,2021-07-17,Offered,
1939,10811,,1435.0,4.0,0.0,12.0,143.0,Wrong password,2021-08-10,Offered,N / A
1945,11183,,1726.0,2.0,,2.0,,Payment processing,2021-07-18,Offered,N / A
1948,10683,,1985.0,1.0,1.0,12.0,,Item do not show,2021-05-25,Offered,
1951,11054,,1503.0,1.0,1.0,,1039.0,Wrong password,2021-05-21,Offered,
1957,15610,,1377.0,1.0,1.0,10.0,389.0,Wrong password,2021-08-09,Offered,
1960,15567,,1697.0,,0.0,13.0,224.0,Payment processing,2021-05-16,Offered,
1968,15073,,1477.0,2.0,0.0,21.0,760.0,Payment processing,2021-08-08,Offered,N / A
1971,11676,,1985.0,1.0,1.0,5.0,22.0,Wrong password,2021-07-24,Offered,N / A
1974,12620,,1947.0,2.0,0.0,5.0,752.0,Payment processing,2021-06-27,Offered,
1978,14374,,1688.0,,0.0,18.0,181.0,Wrong password,2021-06-01,Offered,N / A
1980,13493,,1648.0,3.0,0.0,9.0,790.0,Compromited account,2021-07-13,Offered,N / A
1992,12280,,1692.0,3.0,0.0,5.0,165.0,Item do not show,2021-06-08,Offered,
1995,11078,,1519.0,1.0,1.0,24.0,712.0,Compromited account,2021-07-19,Offered,
1997,13013,,1480.0,2.0,0.0,8.0,476.0,Wrong password,2021-05-29,Offered,
2010,10785,,1455.0,4.0,0.0,5.0,60.0,Compromited account,2021-08-05,Offered,N / A
2014,11085,,1710.0,,0.0,21.0,578.0,Wrong password,2021-07-21,Offered,N / A
2016,13474,,1692.0,3.0,0.0,2.0,183.0,Payment processing,2021-07-01,Offered,
2020,13182,,1967.0,,0.0,11.0,189.0,Wrong password,2021-06-06,Offered,
2022,13037,,1806.0,,0.0,6.0,660.0,Item do not show,2021-08-10,Offered,
2029,10940,,2019.0,3.0,,14.0,484.0,Cheating,2021-07-13,Offered,N / A
2035,10970,,1377.0,4.0,0.0,4.0,249.0,Compromited account,2021-06-27,Offered,
2037,12053,,1812.0,,0.0,4.0,45.0,Item do not show,2021-05-30,Offered,N / A
2038,13196,,1568.0,,0.0,3.0,752.0,Item do not show,2021-06-04,Offered,
2039,14126,,1568.0,2.0,0.0,16.0,321.0,Wrong password,,Offered,
2043,10397,,1857.0,2.0,0.0,7.0,88.0,Wrong password,2021-06-27,Offered,
2044,14219,,1503.0,4.0,0.0,3.0,292.0,Payment processing,2021-05-11,Offered,
2045,13704,,1341.0,1.0,1.0,15.0,588.0,Wrong password,2021-08-02,Offered,
2046,14385,,1837.0,2.0,0.0,9.0,282.0,,2021-08-04,Offered,
2052,10715,,1390.0,,1.0,15.0,165.0,Wrong password,2021-05-21,Offered,
2054,12817,,1455.0,3.0,0.0,3.0,804.0,Compromited account,2021-06-15,Offered,N / A
2057,10450,,1477.0,2.0,,6.0,194.0,Payment processing,2021-07-21,Offered,N / A
2058,12132,,1781.0,6.0,0.0,19.0,373.0,Wrong password,2021-05-22,Offered,
2061,11007,,1503.0,3.0,0.0,4.0,182.0,Cheating,2021-07-05,Offered,
2063,11703,,1692.0,1.0,1.0,4.0,33.0,Payment processing,2021-08-07,Offered,N / A
2068,15429,,1414.0,1.0,1.0,10.0,388.0,Wrong password,2021-08-17,Offered,
2069,12587,,1317.0,2.0,0.0,8.0,465.0,Payment processing,2021-05-28,Offered,
2071,12955,,1341.0,2.0,0.0,6.0,278.0,Payment processing,2021-08-12,Offered,
2075,12999,,1359.0,2.0,0.0,6.0,317.0,Wrong password,2021-08-20,Offered,
2078,10526,,1949.0,,0.0,19.0,486.0,Wrong password,2021-06-24,Offered,
2082,11991,,1695.0,2.0,0.0,9.0,1196.0,Item do not show,2021-06-19,Offered,
2087,13149,,1806.0,,0.0,10.0,197.0,Payment processing,2021-07-07,Offered,
2095,10554,,1695.0,2.0,0.0,4.0,90.0,Item do not show,2021-08-10,Offered,
2096,14669,,1532.0,,0.0,7.0,97.0,Item do not show,2021-05-23,Offered,N / A
2103,15266,,2028.0,,0.0,7.0,118.0,Payment processing,2021-06-25,Offered,
2105,14691,,2028.0,1.0,,6.0,60.0,Payment processing,2021-07-03,Offered,N / A
2108,15443,,2028.0,3.0,0.0,3.0,264.0,Item do not show,2021-06-16,Offered,
2109,13841,,2028.0,5.0,0.0,7.0,68.0,Compromited account,2021-07-28,Offered,N / A
2110,14007,,1267.0,3.0,0.0,9.0,,Payment processing,2021-06-10,Offered,N / A
2116,14135,,1819.0,4.0,0.0,5.0,199.0,Wrong password,2021-06-24,Offered,N / A
2118,10472,,1363.0,4.0,0.0,12.0,148.0,,2021-08-18,Offered,N / A
