"Ticket_number","Resolution","AgentID","CPC","FirstContactResolution","FullResolutionTime","ReplyTime","Problem","TicketCreationDate","Satisfaction","Comment"
12490,NA,NA,NA,NA,NA,NA,NA,NA,"Offered",NA
10261,1,2028,3,0,6,716,"Wrong password","2021-06-22","Bad","bad agent`s communication"
12607,1,1817,2,0,22,801,"Wrong password","2021-05-14","Bad","bad solution,"
14738,1,1535,1,1,4,148,"Item do not show","2021-07-28","Good","reliable resolution..."
14039,1,1996,2,0,17,793,"Wrong password","2021-06-13","Bad","slow services"
13722,1,1480,3,0,3,33,"Wrong password","2021-06-18","Good","¡Me gustan los servicios!"
14709,0,1967,3,0,8,183,"Cheating","2021-07-17","Good",NA
14400,NA,NA,NA,NA,NA,NA,NA,"2017-06-13","Offered",NA
12465,NA,1336,3,0,10,27,NA,"2021-06-23","Offered","N / A"
14963,1,1671,3,0,20,562,"Payment processing","2021-07-09","Bad","inefficient delivery!!"
12392,1,1519,3,0,NA,134,"Payment processing","2021-08-01","Good","nice game"
13904,1,1947,1,1,6,477,"Wrong password","2021-08-13","Bad","Je n'aime pas le jeu"
11697,NA,1819,3,0,5,NA,"Wrong password","2021-08-04","Offered",NA
13134,NA,1571,2,0,13,704,"Item do not show","2021-08-06","Offered","N / A"
12095,NA,1317,5,0,9,194,"Item do not show","2021-05-21","Offered","N / A"
15537,NA,1480,3,0,15,666,"Payment processing","2021-08-04","Offered",NA
11993,NA,1535,NA,1,9,97,"Item do not show",NA,"Offered","N / A"
15258,1,1336,4,0,10,268,"Wrong password","2021-05-20","Good","service clair"
11309,0,1583,2,0,17,527,"Compromited account",NA,"Bad","processus désagréable"
10342,1,1473,2,0,11,NA,"Cheating","2021-07-05","Bad","I don't like product"
12635,0,1535,2,0,5,918,"Cheating","2021-07-24","Bad","Mauvais produit!"
10253,1,1710,3,0,5,278,"Item do not show","2021-06-22","Good","clear resolution"
13200,1,1477,2,0,13,692,"Payment processing","2021-05-31","Bad","confusing product"
15504,1,1656,2,0,16,604,"Payment processing","2021-08-08","Bad","I do not like resolution"
11460,1,1585,3,0,5,53,"Payment processing","2021-05-31","Good","article précis"
13473,1,1566,2,0,27,561,"Wrong password","2021-08-12","Bad","unreliable web-site"
12720,0,2003,3,0,10,535,"Wrong password","2021-06-30","Bad","unreliable... service"
11155,1,1996,7,0,21,740,"Wrong password","2021-08-20","Bad","inefficient agent`s communication"
14464,1,1287,3,0,3,262,NA,"2021-06-14","Good","efficient services"
12957,1,1949,3,0,4,841,"Wrong password","2021-08-12","Bad","I dont like delivery!!"
13000,1,1583,2,NA,23,603,"Wrong password","2021-06-08","Bad","¡Servicios lentos!"
11074,1,1819,2,0,11,710,"Item do not show","2021-07-12","Bad","I don't like delivery!!"
11392,NA,1726,2,0,2,46,"Item do not show","2021-08-10","Offered",NA
12026,1,1949,1,1,5,NA,"Payment processing","2021-06-27","Good","precise agent`s behavior"
11836,1,1267,3,0,17,124,"Payment processing","2021-06-06","Good","experiencia maravillosa"
10302,NA,1754,2,0,8,204,"Payment processing","2021-07-27","Offered",NA
12687,1,1360,2,0,3,612,"Item do not show",NA,"Bad","unreliable agent`s behavior"
15130,1,1929,4,0,26,932,"Item do not show","2021-07-07","Bad","unrealiable solution"
13003,1,1688,2,0,3,NA,"Item do not show","2021-07-06","Good","satisfactory services"
15287,0,1411,1,1,10,813,"Compromited account","2021-06-24","Bad","agente malo"
10259,1,1319,5,0,8,155,"Payment processing","2021-05-25","Good","satisfactory player mode"
10282,1,1942,2,0,NA,740,"Payment processing","2021-08-18","Bad","I don't like process"
13642,1,1566,2,0,NA,NA,"Item do not show","2021-06-21","Bad","bad delivery"
12775,1,1426,2,0,3,127,"Item do not show","2021-08-18","Good","welldone: game"
10482,0,1535,1,1,18,837,"Cheating","2021-07-19","Bad","modo de carrera uselless"
15246,NA,1360,4,0,4,184,"Wrong password","2021-05-23","Offered",NA
10333,1,1319,4,NA,5,171,"Wrong password","2021-08-23","Good","entrega bien hecha"
14991,1,1411,1,1,2,375,"Wrong password","2021-05-22","Good","Résolution nice"
14119,0,1936,3,0,2,787,"Cheating","2021-06-30","Bad","disappointing player mode"
13469,0,1837,3,0,7,168,"Payment processing","2021-07-19","Good","experiencia rápida"
14249,NA,1359,NA,0,3,749,"Compromited account","2021-05-19","Offered","N / A"
15407,0,1688,3,NA,3,273,"Cheating","2021-05-21","Good","experiencia rápida"
11963,1,1412,3,0,5,150,"Wrong password","2021-07-16","Good","eficient agents communication"
12915,NA,1812,3,0,7,75,"Payment processing","2021-06-01","Offered","N / A"
13282,NA,1473,1,NA,2,120,"Compromited account","2021-05-21","Offered","N / A"
12705,NA,1929,2,0,13,519,NA,"2021-06-27","Offered","N / A"
14592,0,1671,2,0,5,410,"Cheating","2021-05-29","Bad","Je n'aime pas l'agent"
10615,NA,1942,2,NA,NA,762,"Cheating","2021-08-20","Offered","N / A"
13253,NA,1568,2,0,11,75,"Wrong password","2021-08-13","Offered",NA
14431,1,1646,3,0,7,454,"Item do not show","2021-07-02","Bad","I don't like solution,"
13092,NA,1519,1,1,3,151,"Wrong password","2021-07-09","Offered",NA
12333,1,1341,2,0,11,271,"Item do not show","2021-06-30","Good","well done player mode"
15680,1,1663,5,0,19,626,"Wrong password",NA,"Bad","unsatisfactory solution,"
10256,NA,1857,2,0,4,217,"Payment processing","2021-08-15","Offered",NA
14236,0,1568,2,0,6,NA,"Compromited account","2021-05-13","Bad",NA
10510,NA,1921,4,0,9,315,NA,NA,"Offered",NA
14384,0,1663,1,1,16,205,"Payment processing","2021-07-07","Bad","mauvais mode de carrière"
11320,0,1777,2,0,3,291,"Cheating","2021-07-15","Good","quick delivery"
10995,NA,1726,3,0,11,829,"Payment processing","2021-08-16","Offered",NA
12036,NA,1719,NA,NA,NA,592,"Wrong password","2021-08-16","Offered","N / A"
12194,1,1480,5,0,5,283,"Wrong password","2021-08-02","Good","well done resolution..."
13890,1,1819,2,0,10,153,"Wrong password","2021-05-16","Good","good agent's communication"
12326,NA,1817,NA,0,3,157,"Wrong password","2021-07-05","Offered",NA
10642,1,1532,1,1,3,62,"Item do not show","2021-05-30","Good","useful career mode"
13348,1,1341,2,0,4,700,"Item do not show","2021-06-03","Bad","¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!!!"
11368,0,1583,3,0,16,478,"Compromited account","2021-05-16","Bad","confusing agents behavior"
11182,1,1806,4,0,3,101,"Wrong password","2021-06-05","Good","well done, agents behavior"
15579,1,1726,4,0,15,320,"Item do not show","2021-05-15","Bad","inefficient product"
13499,NA,1248,2,0,2,107,"Payment processing","2021-07-29","Offered",NA
12184,1,1267,2,0,7,237,"Wrong password","2021-06-03","Good","Livraison bien faite."
13116,0,2028,4,0,5,315,"Item do not show","2021-06-19","Bad","Resolución insatisfactoria ..."
13112,NA,1949,3,0,9,664,"Wrong password","2021-05-16","Offered",NA
12033,1,1496,3,0,2,141,"Payment processing","2021-08-13","Good","amazing! agents behavior"
12849,1,1719,4,0,3,109,"Wrong password","2021-07-28","Good","nice game"
11778,1,1899,2,0,5,131,"Item do not show","2021-08-04","Good","I like game"
10591,1,1548,1,1,7,366,"Payment processing","2021-08-05","Good","Servicio útil !!!"
12213,1,1812,1,1,20,740,"Wrong password","2021-06-24","Bad","I don't like product"
12227,1,1571,5,0,14,10,"Wrong password","2021-08-19","Good","welldone: agent`s behavior"
15111,1,1360,6,0,24,667,"Wrong password","2021-06-27","Bad","unrealiable service!!!"
10562,NA,1340,4,0,4,608,"Payment processing","2021-07-27","Offered",NA
10871,0,1892,2,0,18,540,"Payment processing","2021-05-12","Bad","Servicio poco realiable !!!"
12703,1,1580,4,0,4,78,"Wrong password","2021-06-10","Good","great product"
14421,1,1726,2,0,10,190,"Item do not show","2021-06-15","Good","well done product"
14480,1,1942,2,0,11,311,"Wrong password","2021-07-05","Good","fantastic agent`s behavior"
11454,1,1548,2,0,NA,230,"Payment processing","2021-08-14","Good","well done services"
13017,1,1671,4,0,12,504,"Payment processing","2021-07-01","Bad","I don't like process"
12158,1,1585,1,1,7,84,"Item do not show","2021-06-09","Good","Comportement des agents fiables"
13414,1,1358,6,0,7,868,"Payment processing","2021-08-01","Bad","disappointing agents behavior"
14847,1,1473,1,1,6,90,"Payment processing","2021-08-18","Good","well done, resolution"
12135,1,1942,2,0,10,NA,"Payment processing","2021-06-19","Good","elemento eficiente"
13980,1,2003,4,0,7,234,"Item do not show","2021-05-12","Good","clear item"
12209,1,1519,3,0,10,102,"Wrong password","2021-06-18","Good","clear delivery!!"
15110,NA,1892,1,1,9,202,"Payment processing","2021-08-02","Offered",NA
14619,NA,1532,1,1,6,168,"Item do not show","2021-06-01","Offered","N / A"
15584,1,1583,2,0,6,116,"Item do not show","2021-06-29","Good","amazing services!"
12091,NA,1341,2,0,3,248,"Payment processing","2021-05-11","Offered",NA
10625,1,1719,3,0,13,405,"Payment processing","2021-08-10","Bad","unpleasant career mode"
14275,1,1781,5,NA,25,604,NA,"2021-07-25","Bad","Producto insatisfactorio!"
10784,1,1806,2,0,9,319,"Compromited account","2021-06-08","Bad","solution désagréable,"
14040,1,1697,4,0,8,367,"Payment processing","2021-06-29","Good","quick website"
11385,1,1568,4,0,4,278,"Wrong password","2021-08-21","Good","satisfactory service"
12175,NA,1571,4,0,2,194,"Wrong password","2021-07-02","Offered","N / A"
13106,1,1267,5,0,7,384,"Payment processing","2021-07-29","Bad","Mode de carrière dur"
14114,NA,1548,3,0,7,156,"Wrong password","2021-05-22","Offered","N / A"
12002,1,1359,5,0,9,166,"Wrong password","2021-06-11","Good","produit étonnant"
11728,1,1566,2,0,3,99,"Payment processing","2021-05-29","Good","eficient website"
13323,NA,1695,6,0,5,561,"Item do not show","2021-05-23","Offered",NA
10298,NA,NA,NA,NA,NA,NA,NA,"2020-09-27","Offered","N / A"
15306,1,1857,6,0,8,329,"Payment processing","2021-05-28","Good","i like services"
11145,0,1746,2,NA,8,745,"Wrong password","2021-06-14","Bad","solución poco clara"
14977,1,1710,3,NA,6,657,"Wrong password",NA,"Bad","¡Servicios ineficientes!"
10345,NA,1754,4,0,8,469,NA,"2021-07-20","Offered","N / A"
14404,NA,1942,3,0,14,657,"Wrong password","2021-05-11","Offered",NA
13463,1,1949,5,0,18,963,"Payment processing","2021-07-18","Bad","I do not like player mode"
13858,1,1363,3,0,3,752,"Wrong password","2021-06-12","Bad","confusing services"
12803,1,1414,2,NA,6,113,"Wrong password","2021-06-10","Good","sitio web confiable"
15084,NA,1341,4,0,6,145,"Wrong password","2021-07-02","Offered","N / A"
13415,1,1781,5,0,4,944,"Wrong password","2021-07-31","Bad","Je n'aime pas la communication de l'agent"
13687,1,1317,2,0,9,125,"Wrong password","2021-05-27","Good","Communication des grands agents"
14044,1,1535,1,1,8,277,"Wrong password","2021-07-03","Good","bon mode de carrière"
13941,1,1400,1,1,9,862,"Compromited account","2021-08-21","Bad","I do not like item"
10318,0,1337,1,1,19,NA,NA,"2021-07-28","Bad","solución dura"
12707,1,1817,3,0,6,156,"Compromited account","2021-07-30","Good","efficient web-site"
11352,1,1522,2,0,15,82,"Compromited account","2021-06-30","Good","amazing! website"
13599,1,1967,2,0,23,484,"Item do not show","2021-06-18","Bad","disappointing services"
13119,1,1248,1,1,3,125,"Payment processing","2021-06-20","Good","J'aime le produit!"
12421,1,1340,3,0,2,128,"Payment processing","2021-06-15","Good","Livraison claire !!"
11666,NA,1287,NA,0,8,29,"Payment processing","2021-08-02","Offered",NA
13059,1,1455,2,0,12,220,"Wrong password","2021-06-12","Good","Comportamiento del agente rápido"
15475,1,1568,5,0,9,279,"Wrong password","2021-06-16","Bad","unclear product!"
14246,NA,1455,2,0,10,507,"Payment processing","2021-08-20","Offered","N / A"
11798,1,1759,1,1,11,208,"Wrong password","2021-05-14","Good","useful service!!!"
10602,1,1777,2,0,5,651,"Payment processing","2021-08-03","Bad","lent ..... Résolution ..."
14698,1,1438,1,1,2,86,"Payment processing","2021-08-23","Good","amazing! product!"
12574,1,1503,3,0,11,225,"Payment processing","2021-07-20","Good","good service!!!"
11282,NA,1936,2,NA,23,NA,"Compromited account","2021-08-06","Offered","N / A"
11217,NA,1892,3,NA,9,137,NA,"2021-08-22","Offered","N / A"
13988,1,1819,4,0,13,249,"Wrong password","2021-08-04","Good","good process"
11346,1,1770,1,1,NA,751,"Payment processing","2021-05-16","Bad","Mode du joueur peu fiable"
12816,1,1695,3,0,26,541,"Wrong password","2021-07-14","Bad","I do not like agent"
14195,1,1759,1,NA,7,204,"Item do not show","2021-08-19","Good","buena resolución ..."
15343,1,1496,7,0,4,24,"Item do not show","2021-07-27","Good","Bien hecho, sitio web"
10167,1,1656,1,1,3,318,"Wrong password","2021-06-02","Good","useful item"
10376,1,1648,2,0,7,188,"Payment processing","2021-06-29","Good","useful agent`s communication"
14895,1,1360,5,0,6,152,"Compromited account","2021-06-26","Good","well done, item"
10400,NA,1317,NA,0,5,152,"Cheating","2021-06-15","Offered","N / A"
11068,NA,1697,1,1,5,117,"Payment processing","2021-08-18","Offered","N / A"
12372,0,1427,3,0,4,619,"Payment processing",NA,"Bad","I don't like resolution"
14850,1,1317,2,0,2,28,"Payment processing","2021-06-26","Good","Servicios maravillosos"
12985,1,1892,3,0,12,175,"Item do not show","2021-06-27","Good","fast service!!!"
10817,1,1480,2,0,9,37,"Item do not show","2021-07-14","Good","Bravo, expérience"
12919,NA,1985,3,0,19,574,"Item do not show","2021-07-22","Offered",NA
13605,1,1377,3,0,8,293,"Item do not show","2021-06-01","Good","great player mode"
11898,NA,1360,3,0,18,358,"Wrong password","2021-06-15","Offered",NA
14839,0,1337,1,1,19,415,"Item do not show","2021-06-19","Bad","confusing game"
12905,NA,1688,5,0,15,872,"Cheating","2021-05-18","Offered",NA
12248,1,1692,3,0,8,733,"Payment processing","2021-07-01","Bad","mauvaise expérience"
12651,1,1426,1,1,17,NA,"Payment processing","2021-08-10","Bad","slow..... product!"
10600,NA,1781,3,0,3,12,"Cheating","2021-07-07","Offered",NA
13960,1,1400,5,0,12,888,"Item do not show","2021-07-01","Bad","mala entrega."
12866,1,1455,3,0,2,307,"Item do not show","2021-05-30","Good","Service incroyable !!!"
11756,1,1412,2,0,8,NA,"Item do not show","2021-06-28","Good","clear delivery"
15164,NA,1985,NA,0,19,864,"Compromited account","2021-05-12","Offered","N / A"
13574,NA,1777,3,0,7,149,"Payment processing","2021-08-15","Offered",NA
11638,1,1947,3,0,32,643,"Item do not show","2021-05-30","Bad","uselless service!!!"
13807,1,1754,2,0,5,376,"Compromited account","2021-05-20","Good","pleasant agent's communication"
11059,1,1267,5,0,7,657,"Item do not show","2021-05-18","Bad","bad agent's communication"
15297,1,1781,3,0,4,244,"Payment processing","2021-06-10","Good","reliable solution,"
13063,NA,1317,4,NA,10,608,"Compromited account","2021-07-02","Offered","N / A"
14652,1,2028,3,0,9,77,"Payment processing","2021-08-17","Good","i like delivery."
14394,1,1341,1,1,15,987,NA,"2021-07-22","Bad","Je n'aime pas l'agent"
15202,1,1692,2,0,10,273,"Payment processing","2021-05-28","Good","nice experience"
10224,1,1813,1,NA,6,957,"Wrong password","2021-05-12","Bad","No me gusta la experiencia"
12762,NA,1695,3,NA,17,645,"Item do not show","2021-06-10","Offered","N / A"
13791,NA,1568,NA,0,6,760,"Item do not show","2021-07-29","Offered","N / A"
13519,NA,1566,3,0,19,972,"Compromited account","2021-06-28","Offered","N / A"
14712,1,1532,6,0,13,1183,"Payment processing","2021-08-21","Bad","unrealiable solution,"
14356,1,1671,3,0,17,771,"Payment processing","2021-05-29","Bad","Services déroutants"
13885,NA,1781,4,0,3,935,"Wrong password","2021-07-01","Offered","N / A"
14725,1,1336,2,0,11,791,"Payment processing","2021-06-23","Bad","inefficient item"
11675,1,2019,2,0,17,580,"Item do not show","2021-08-04","Bad","inefficient website"
10854,NA,1411,2,0,18,595,"Wrong password","2021-06-20","Offered","N / A"
12714,1,1663,2,0,3,504,"Wrong password",NA,"Bad","I dont like resolution..."
12559,1,1532,3,0,8,154,"Payment processing","2021-05-28","Good","solution satisfaisante"
15587,1,1585,3,0,6,185,"Wrong password","2021-08-02","Good","Gran resolución"
11754,0,1759,4,0,5,783,"Wrong password",NA,"Bad","uselless item"
10486,1,1336,4,0,7,46,"Wrong password","2021-07-29","Good","well done, agent`s behavior"
12010,1,1496,2,0,5,705,"Payment processing","2021-06-24","Bad","Comportement des agents durs"
12094,1,1317,3,0,9,169,"Wrong password","2021-05-16","Good","amazing solution"
13402,1,1746,6,0,8,128,"Wrong password","2021-05-19","Good","Bien hecho, experiencia"
11120,1,1996,4,0,8,651,"Item do not show",NA,"Bad","lent ..... Produit"
10972,1,1929,1,1,5,236,"Payment processing","2021-07-22","Good","clear services"
11258,1,1377,2,0,15,345,"Wrong password","2021-06-02","Bad","slow item"
14173,1,1411,3,NA,11,180,"Wrong password","2021-08-05","Good","buen juego"
12757,NA,1688,1,1,8,15,"Payment processing","2021-06-23","Offered","N / A"
12145,1,1426,1,1,5,319,"Wrong password","2021-07-24","Good","N / A"
12169,NA,2028,4,0,4,529,"Wrong password","2021-06-12","Offered",NA
14640,1,1819,6,0,16,422,"Payment processing","2021-07-11","Bad","Comportamiento del agente de USELLESS"
11115,1,1746,4,0,7,784,"Item do not show","2021-05-19","Bad","unrealiable web-site"
12185,1,1781,2,0,7,NA,"Cheating","2021-06-10","Good","i like agent's behavior"
12164,NA,1770,2,0,4,97,"Wrong password","2021-06-16","Offered","N / A"
14453,1,1695,4,0,10,174,"Wrong password","2021-07-02","Good","great agent`s behavior"
10968,1,1819,2,0,6,160,"Wrong password","2021-07-26","Good","fast website"
11603,NA,1947,3,0,16,624,"Item do not show","2021-07-23","Offered",NA
12774,1,1571,4,0,15,623,"Payment processing","2021-08-19","Bad","Je n'aime pas le mode carrière"
14893,1,1726,6,0,21,800,"Item do not show","2021-06-24","Bad","Mode de joueur horrible"
10827,NA,1532,3,0,15,858,"Wrong password","2021-06-05","Offered",NA
12658,NA,1360,3,0,7,199,"Item do not show","2021-06-28","Offered","N / A"
11159,1,1480,2,0,6,176,NA,"2021-06-05","Good","quick agent`s communication"
11188,0,1770,2,0,15,109,"Wrong password","2021-07-09","Good",NA
12125,0,1535,3,0,NA,70,"Cheating","2021-05-26","Good","Comunicación de agentes rápidos"
11321,1,1532,3,0,12,375,"Wrong password","2021-07-26","Good","nicee agents behavior"
12038,1,1817,4,0,9,81,"Item do not show","2021-08-06","Good","Livraison satisfaisante !!"
11170,NA,1411,2,0,9,112,"Payment processing","2021-05-24","Offered",NA
14915,1,1671,1,1,NA,550,"Wrong password","2021-05-14","Bad","unrealiable services"
13656,1,2028,3,NA,12,387,"Item do not show","2021-06-22","Bad","servicios decepcionantes"
14210,NA,1580,5,0,10,122,"Wrong password","2021-06-16","Offered",NA
10556,NA,1583,7,0,2,385,"Payment processing","2021-05-25","Offered",NA
14577,1,1580,4,0,7,523,"Payment processing","2021-05-22","Bad","Servicio poco realiable !!!"
11568,1,1996,1,1,3,NA,"Item do not show",NA,"Good","fantastic agents behavior"
14555,1,1813,3,0,4,275,"Wrong password","2021-05-11","Good","Welldone: solución"
15606,NA,1746,2,0,20,776,"Cheating","2021-06-06","Offered",NA
14970,NA,1583,2,0,8,132,"Wrong password","2021-06-27","Offered",NA
11276,1,1892,4,0,NA,136,"Wrong password","2021-08-10","Good","fantastic delivery!!"
10176,NA,1583,2,0,4,265,"Cheating","2021-07-24","Offered","N / A"
12617,1,1566,3,0,8,82,"Payment processing","2021-08-18","Good","wonderful delivery."
15594,1,1496,2,0,7,161,"Item do not show","2021-08-17","Good","Modo de reproductor confiable"
14409,1,1519,6,0,24,498,"Payment processing","2021-05-26","Bad","inefficient agent"
10629,NA,1754,1,1,6,56,"Compromited account","2021-05-15","Offered",NA
11669,NA,1319,3,0,9,268,"Wrong password","2021-07-16","Offered",NA
12154,NA,1535,2,0,7,278,"Payment processing","2021-05-14","Offered",NA
13703,0,1648,4,0,8,74,"Compromited account","2021-06-16","Good","useful delivery."
10330,1,1341,4,0,9,173,"Item do not show","2021-07-09","Good","Me gusta el modo de reproductor"
11773,1,1267,3,0,25,714,"Payment processing","2021-06-05","Bad","unpleasant agent`s communication"
11786,NA,1929,1,1,9,256,"Item do not show","2021-05-17","Offered","N / A"
13559,1,1837,2,0,9,296,"Item do not show","2021-06-17","Good","N / A"
12670,1,1566,2,0,27,561,"Wrong password","2021-08-12","Bad","sitio web poco confiable"
15613,NA,2019,NA,0,11,715,NA,"2021-07-28","Offered",NA
12777,1,1663,1,1,4,696,"Wrong password","2021-06-01","Bad","slow..... process"
15259,0,2003,3,0,25,879,"Item do not show","2021-05-17","Bad",NA
11494,0,1336,3,0,16,202,"Cheating","2021-05-12","Bad","I don't like game"
15461,1,1899,6,0,3,138,"Payment processing","2021-05-28","Good","good agent`s communication"
10439,NA,1438,4,0,6,105,"Wrong password","2021-06-22","Offered",NA
11817,1,1817,4,0,11,235,"Cheating","2021-05-23","Good","I like delivery"
14860,1,1317,1,1,7,84,"Wrong password","2021-07-05","Good","nice resolution..."
10912,NA,1535,4,0,7,626,"Wrong password","2021-06-25","Offered",NA
14720,1,1350,2,0,3,272,"Item do not show","2021-06-26","Good","I like agent"
14454,1,1350,2,0,5,244,"Compromited account","2021-07-06","Good","clear item"
13091,1,1340,5,0,3,164,"Item do not show","2021-07-05","Good","well done, agent's communication"
14989,1,1929,2,0,14,514,"Payment processing","2021-08-12","Bad","unreliable services"
12677,1,1671,3,0,2,220,"Wrong password","2021-08-21","Good","efficient item"
11142,NA,1646,1,1,7,97,"Item do not show","2021-05-24","Offered",NA
13266,NA,1377,1,1,15,548,"Payment processing","2021-05-30","Offered","N / A"
13477,1,1812,2,NA,11,233,"Payment processing","2021-07-01","Good","Welldone: Comunicación de agentes"
12692,NA,1837,2,0,7,841,"Wrong password","2021-08-05","Offered","N / A"
11605,1,1568,3,NA,8,152,"Item do not show","2021-07-31","Good","me gusta la comunicación de los agentes"
11226,NA,1519,NA,0,24,239,"Compromited account","2021-06-16","Offered","N / A"
13834,1,1480,3,NA,8,NA,"Wrong password","2021-08-21","Good","artículo rápido"
14516,1,1942,3,0,7,128,"Wrong password","2021-07-06","Good","efficient services!"
14574,NA,1248,3,0,8,161,"Payment processing","2021-07-30","Offered","N / A"
11695,NA,1384,5,0,6,NA,NA,"2021-06-08","Offered","N / A"
14943,1,1996,3,0,12,12,"Item do not show","2021-08-23","Good","pleasant resolution"
11191,NA,1519,NA,0,10,249,"Item do not show","2021-08-07","Offered","N / A"
12889,1,1548,4,0,2,32,"Item do not show","2021-07-29","Good","welldone: solution"
10772,1,1473,1,1,6,641,"Payment processing","2021-05-13","Bad","harsh services!"
11353,1,1688,3,0,20,367,"Item do not show","2021-07-08","Bad","slow..... agents communication"
10947,1,1480,2,0,7,544,"Payment processing","2021-05-28","Bad","Communication des agents clairs"
15200,1,1341,3,0,7,NA,"Wrong password","2021-08-20","Good","welldone: agent's communication"
15526,1,1817,2,0,10,26,"Wrong password","2021-05-15","Good","well done solution,"
13512,1,1646,4,0,NA,484,"Payment processing","2021-08-19","Bad","N / A"
12666,1,1384,3,0,46,397,"Payment processing","2021-05-25","Bad","unsatisfactory product!"
15635,1,1585,2,0,9,440,"Wrong password","2021-05-26","Bad","Lente ..... Livraison."
10699,0,1583,3,0,11,764,"Item do not show","2021-07-28","Bad","mauvais site Web"
12598,1,1817,4,0,7,212,"Payment processing","2021-08-09","Good","buen agente"
11289,NA,1548,NA,0,8,37,"Item do not show","2021-06-27","Offered",NA
14197,1,1777,1,1,16,632,"Item do not show","2021-07-16","Bad","I do not like solution,"
10303,0,1363,3,0,19,149,"Cheating","2021-07-13","Good","nice solution,"
10798,NA,1899,NA,0,16,575,"Item do not show","2021-06-03","Offered",NA
11143,1,1583,4,0,21,467,"Payment processing","2021-08-09","Bad","mauvaise solution"
13448,1,1414,2,0,3,190,"Compromited account","2021-08-23","Good","Communication de beaux agents"
10944,1,1336,1,1,2,69,"Payment processing","2021-06-24","Good","nicee web-site"
13258,1,1746,3,0,15,565,"Payment processing","2021-06-30","Bad","harsh resolution..."
13136,0,1337,2,0,5,237,"Cheating","2021-06-15","Good","amazing game"
13240,0,1819,1,1,25,708,"Cheating","2021-06-24","Bad","confusing website"
11854,1,1996,1,1,6,45,"Payment processing","2021-06-11","Good","N / A"
13455,1,1548,2,NA,8,208,"Wrong password",NA,"Good","artículo útil"
14483,NA,1400,4,0,17,797,NA,"2021-05-12","Offered",NA
12627,1,1813,2,0,4,102,"Item do not show","2021-07-19","Good","Entrega fantástica."
12944,1,1317,3,NA,7,NA,"Item do not show","2021-05-18","Good","maravillosa solución,"
13539,1,1899,3,0,10,267,"Wrong password",NA,"Good","i like product"
10169,NA,1929,3,0,11,611,"Wrong password","2021-07-06","Offered","N / A"
13332,1,1813,3,0,3,144,"Payment processing","2021-07-12","Good","nice game"
13920,NA,1857,3,0,11,667,"Payment processing","2021-07-07","Offered","N / A"
11315,1,1414,4,0,10,384,"Payment processing","2021-06-13","Bad","unrealiable delivery!!"
14221,NA,1697,1,1,2,138,"Item do not show","2021-07-19","Offered",NA
12510,1,1899,2,0,3,893,"Wrong password","2021-06-22","Bad","entrega ineficiente."
13250,1,1414,2,0,9,139,"Payment processing","2021-07-28","Good","pleasant services!"
13622,1,1287,1,1,6,185,NA,"2021-06-20","Good","Comportement des agents bien fait"
10747,NA,1819,3,0,3,40,"Wrong password","2021-07-24","Offered",NA
14177,1,1929,2,0,15,987,"Wrong password","2021-05-15","Bad","Mode des joueurs"
13343,0,1585,2,0,8,385,"Compromited account","2021-07-28","Bad","Servicio decepcionante !!!"
13701,0,1548,2,0,4,433,"Wrong password","2021-08-09","Bad","¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡Oso ¡!!!"
14541,0,1967,3,NA,21,517,"Cheating","2021-06-04","Bad","servicio insatisfactorio"
11342,NA,1746,7,0,14,999,"Compromited account","2021-07-08","Offered",NA
11216,NA,1899,2,0,3,191,"Payment processing","2021-07-24","Offered","N / A"
13395,1,1360,4,0,27,832,"Item do not show","2021-07-28","Bad","unrealiable process"
13733,NA,1857,5,0,5,NA,"Wrong password","2021-07-11","Offered",NA
10597,NA,NA,NA,NA,NA,NA,NA,"2016-10-20","Offered",NA
10163,1,1522,2,0,4,247,"Item do not show","2021-08-20","Good","nicee services"
15373,1,1857,3,0,7,183,"Compromited account","2021-06-21","Good","site Web efficace"
10198,1,1949,3,0,5,378,"Wrong password","2021-08-05","Good","useful website"
12924,1,1519,2,0,3,503,"Payment processing","2021-06-02","Bad","unpleasant process"
15203,1,1688,3,0,37,634,"Compromited account","2021-06-30","Bad","unsatisfactory agents behavior"
15467,1,1936,4,0,7,980,"Payment processing","2021-06-17","Bad","Comportement des agents usulless"
12731,1,1817,2,0,29,974,"Payment processing","2021-05-19","Bad","slow agent's behavior"
14268,1,1531,3,0,10,79,"Wrong password","2021-06-17","Good","pleasant agent`s behavior"
12353,1,1817,1,1,NA,147,"Item do not show","2021-05-17","Good","amazing agent's communication"
13078,NA,1754,3,0,2,111,"Compromited account","2021-05-26","Offered",NA
11526,1,1336,2,0,4,63,"Wrong password","2021-05-25","Good","sitio web claro"
14767,1,1726,1,1,3,235,"Wrong password","2021-05-28","Good","great agents behavior"
12287,NA,1568,3,0,18,764,"Wrong password","2021-07-31","Offered","N / A"
12578,0,1656,2,0,17,472,"Cheating","2021-06-18","Bad","processus peu clair"
11727,1,1337,3,0,3,169,"Wrong password","2021-05-11","Good","solution rapide,"
